maxint,meanint,maxf1,meanf1,maxf2,meanf2, maxpitch, meanpitch, maxharmonicity, meanharmonicity, numberofpulses, numberofperiods, jitter, shimmer, unvoicedframes, voicebreaks, meanautocorrelation, meannoisetoharmonicsratio, meanharmonicstonoiseratio, dx
83.92397947246903,71.58176513296846,2226.932390124277,773.8668829603513,3967.1723324349246,1801.6519252692142,514.737500795986,172.44725821431228,44.80910465732484,10.440155185724425,1950,1882,0.019119999999999998,0.09421,0.48859,65,0.898809,0.138006,12.589,0
86.12970712072969,72.52619300940238,2930.5297301027904,1246.5131623479488,4107.236734892429,2422.437451066169,604.702641292239,259.2497344172407,46.237202254875356,5.201708455460536,2428,1792,0.02496,0.17138000000000003,0.58812,94,0.71812,0.441715,4.519,0
78.96063207592859,66.72078191428201,2622.938312051847,822.5878773522485,4120.452015526387,1957.9316441341432,593.5412496807826,120.09051494728325,41.61504070394473,7.845682784698811,1261,1193,0.02358,0.1151,0.47402,55,0.858418,0.200226,9.754,0
83.50135851323925,74.09403288787301,2850.8754796138674,696.6284952350466,4132.153166891906,1916.040737257992,588.6657047988729,197.44249314287194,45.27586937059931,11.33781439411044,2544,2482,0.0199,0.07547,0.38127000000000005,55,0.919261,0.11166,14.233,0
83.84476462237565,74.40386782093853,2978.9752572983116,759.6180404145753,3880.3244360324265,2116.4832965675105,592.2190328739729,180.9124750283791,48.60015916970474,3.8694664948380955,1667,1518,0.01601,0.11529,0.5470700000000001,88,0.742763,0.408569,5.355,0
82.42799888802436,71.54026619968985,2799.458702085996,681.8900588821107,3937.639847876229,1941.2654706969836,170.37775456437637,91.59892455089235,39.09531573112689,6.370570598538698,793,735,0.02667,0.11388999999999999,0.59136,52,0.856636,0.20416,10.119,0
80.53393502808582,68.47540191305197,3090.5899528896957,664.5407309699937,4210.227531547616,1879.9232082587896,598.1882240108627,129.46845804976547,44.88665582773262,8.491898742453516,1475,1405,0.016890000000000002,0.12961,0.47137,58,0.854206,0.204421,9.518,0
81.5963764140276,65.13914367367369,2497.6020565799236,871.5125091308997,3333.2167070990254,2066.591151520334,592.2306994580151,92.40839437991495,43.29611221605313,4.266313758749457,750,685,0.02328,0.11161,0.55183,57,0.818277,0.264277,7.973,0
81.61349501877145,69.46899929363997,2270.3710699113976,734.665587678226,3458.7321162297226,1926.2591185793813,473.5384345494356,236.81677844093622,42.58571339662721,10.066739451806768,2241,2174,0.01901,0.08310000000000001,0.50296,60,0.904803,0.12893,12.822,0
81.08561542623816,68.84755461969951,2906.4797738309762,844.3414165973746,4194.105172385021,1979.3673693269825,163.9345663431264,96.05943567629717,39.00177342705706,5.362399596044307,809,747,0.028460000000000003,0.13193,0.55181,60,0.812881,0.280082,8.043,0
86.26749506525165,77.50263626052501,2381.6148083582993,815.252745468895,3468.5660076249437,1927.7620671835177,573.0556303465326,104.75358286720632,48.185501648598766,5.696080866494803,898,831,0.03066,0.10973000000000001,0.53344,55,0.844749,0.219238,9.207,0
84.62563795630301,71.67425138850399,2423.825452433857,621.5488740494666,3850.479110727149,1919.9401791904518,577.1030462528283,219.9161259284626,37.13459848194785,11.788941330569187,2920,2826,0.02314,0.10369,0.40091000000000004,57,0.863597,0.196359,11.009,0
83.05007222040662,69.7735481572715,2314.3210670438875,599.1277272720836,3713.7973996259907,1839.3219058347645,535.3103572570799,208.29875636291845,36.97488014237767,10.594715318449367,2424,2348,0.02028,0.12997999999999998,0.39048000000000005,53,0.841568,0.238843,9.487,0
81.79540025939343,71.36301057025202,3241.7266866186073,832.719375180848,4187.734322498825,2070.9142467658016,598.4641102901676,117.94582509321798,37.62344257752785,5.544251250907521,1395,1301,0.03116,0.11553000000000001,0.56741,70,0.814375,0.277875,8.04,0
81.77914258624556,69.59153081457153,3014.8799894508643,773.5643948187194,3789.6654959525063,2019.2220222626709,273.101434084799,187.12798601317974,45.605409338770876,11.895656454809092,2711,2645,0.01504,0.07031,0.46557000000000004,59,0.902124,0.137088,13.036,0
80.96407989802748,67.19532108845372,3059.753162017867,1248.078963840839,4100.5097921410725,2394.2362026672777,546.2425329408927,92.27484616181495,36.529994305638866,3.023961337195046,930,866,0.025400000000000002,0.11684,0.5588000000000001,55,0.812514,0.269419,7.733,0
83.10714905108979,71.62101578031367,3014.834932501688,868.499706846367,3756.579408116677,2040.3020662552517,546.1096333848036,202.99628011937563,49.01512618877336,7.862729944117992,2111,2043,0.019450000000000002,0.09141,0.44198000000000004,59,0.854749,0.208393,10.055,0
